,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,0,"Mata Sundri Girls College, Bathinda",Rampura Phul,Punjab,B.Sc Fashion Technology,3 years,Full time,,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Science in Fashion Technology is a full-time three year course affiliated to Punjabi University, Patiala."
1,1,"Mata Sundri Girls College, Bathinda",Rampura Phul,Punjab,M.Sc Fashion Design,2 years,Full time,,PG,,,The candidate should have passed in the relevant graduate degree.,"Master of Science in Fashion Design is a full-time two year course affiliated to Punjabi University, Patiala."
2,2,"SD Mahila Mahavidyalaya, Narwana",Narwana,Haryana,Bachelor of Fashion Designing,3 years,Full time,40.0,UG,,,The candidate should have passed in 10+2 related stream.,Bachelor of Fashion Designing is a three year full time course.
3,3,"Swami Swatantranand Memorial College, Gurdaspur",Lohgarh,Punjab,PGD Dress Designing and Tailoring,1 year,Full time,,Diploma,,,The candidate should have passed in Having passed B.A./B.Com. /B.Sc. and B.Sc. (Home Sci.) exam from GNDU with a minimum of 45% marks or any other exam. Recognized by this University as equivalent there to.,PG Diploma in Dress Designing and Tailoring is a one year full time course.
4,4,"Sant Hira Dass Kanya Mahavidyalaya, Kapurthala",Jalandhar,Punjab,Diploma in Dress Designing and Dress Making,2 years,Full time,,Diploma,,UGC,Certified course in Dress Designing and Making a student who passed matric in eligible to join the course.,"This is a full time two year course affiliated to Guru Nanak Dev University, Amritsar and approved by UGC."
5,5,"Sant Hira Dass Kanya Mahavidyalaya, Kapurthala",Jalandhar,Punjab,PGD Dress Designing and Tailoring,1 year,Full time,,Diploma,,,Graduate student are eligible to join P.G.D.D.D.T.,"This is a full time one year course affiliated to Guru Nanak Dev University, Amritsar and approved by UGC."
6,6,"Dr Ram Manohar Lohia Institutions College of Bioscience and Technology, Aurangabad",Aurangabad,Maharashtra,B.Sc Multimedia and Networking,3 years,Full time,60.0,UG,,Government of Maharashtra,"H.S.C Exam (12thStd) from Science stream from Maharashtra State Board of Secondary & Higher secondary education, Pune, or any other examination equivalent thereto.","It is 3 year full time UG level course with affiliation of Dr. Babasaheb Ambedkar Marathwada University, Aurangabad and approved by Government of Maharashtra."
7,7,"Guru Nanak College for Women, Banga",Dosanjh Khurd,Punjab,Diploma in Cosmetology,1 year,Full time,50.0,Diploma,0.11 lakhs,,The candidate should have passed in After 10+2 With 40% Marks,"Diploma in Cosmetology is one year full time course with affiliation of Guru Nanak Dev University, Amritsar and approved by UGC."
8,8,"Guru Nanak College for Women, Banga",Dosanjh Khurd,Punjab,Diploma in Stitching and Tailoring,1 year,Full time,50.0,Diploma,0.11 lakhs,UGC,After 10+2 With 40% Marks,"It is 1 year full time course with affiliation of Guru Nanak Dev University, Amritsar and approved by UGC."
9,9,"Guru Nanak College for Women, Banga",Dosanjh Khurd,Punjab,PG Diploma in Cosmetology,1 year,Full time,50.0,Diploma,0.16 lakhs,,The candidate should have passed in After graduation With 45%Marks,"PG Diploma in Cosmetology is one year full time course with affiliation of Guru Nanak Dev University, Amritsar and approved by UGC."
